Start (s),End (s),Scientific.name,Common.name,Confidence,File
18.0,21.0,Turdus merula,Eurasian Blackbird,0.5805,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
66.0,69.0,Turdus merula,Eurasian Blackbird,0.6413,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
72.0,75.0,Turdus merula,Eurasian Blackbird,0.6807,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
96.0,99.0,Turdus merula,Eurasian Blackbird,0.5399,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
111.0,114.0,Turdus merula,Eurasian Blackbird,0.6200,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
114.0,117.0,Turdus merula,Eurasian Blackbird,0.9660,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
117.0,120.0,Turdus merula,Eurasian Blackbird,0.9205,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
123.0,126.0,Turdus merula,Eurasian Blackbird,0.8093,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
129.0,132.0,Turdus merula,Eurasian Blackbird,0.9007,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
132.0,135.0,Turdus merula,Eurasian Blackbird,0.6960,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
135.0,138.0,Turdus merula,Eurasian Blackbird,0.6549,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
138.0,141.0,Turdus merula,Eurasian Blackbird,0.9603,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
141.0,144.0,Turdus merula,Eurasian Blackbird,0.8374,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
144.0,147.0,Turdus merula,Eurasian Blackbird,0.8854,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
147.0,150.0,Turdus merula,Eurasian Blackbird,0.8232,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
156.0,159.0,Turdus merula,Eurasian Blackbird,0.7501,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
159.0,162.0,Turdus merula,Eurasian Blackbird,0.9543,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
162.0,165.0,Turdus merula,Eurasian Blackbird,0.9701,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
165.0,168.0,Turdus merula,Eurasian Blackbird,0.9853,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
168.0,171.0,Turdus merula,Eurasian Blackbird,0.8925,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
171.0,174.0,Turdus merula,Eurasian Blackbird,0.7058,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
174.0,177.0,Turdus merula,Eurasian Blackbird,0.8113,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
177.0,180.0,Turdus merula,Eurasian Blackbird,0.8674,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
180.0,183.0,Turdus merula,Eurasian Blackbird,0.7903,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
183.0,186.0,Turdus merula,Eurasian Blackbird,0.6738,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
186.0,189.0,Turdus merula,Eurasian Blackbird,0.7432,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
189.0,192.0,Turdus merula,Eurasian Blackbird,0.9245,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
192.0,195.0,Turdus merula,Eurasian Blackbird,0.7729,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
195.0,198.0,Turdus merula,Eurasian Blackbird,0.7298,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
201.0,204.0,Turdus merula,Eurasian Blackbird,0.6711,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
207.0,210.0,Turdus merula,Eurasian Blackbird,0.7744,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
210.0,213.0,Turdus merula,Eurasian Blackbird,0.6685,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
213.0,216.0,Turdus merula,Eurasian Blackbird,0.9663,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
216.0,219.0,Turdus merula,Eurasian Blackbird,0.9031,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_210000.WAV
